Date,Cash,Holdings,Total Assets
2009-12-04,409027.3822930455,559867.2937014103,968894.6759944558
2009-12-07,408609.5853139758,558480.0697529018,967089.6550668776
2009-12-08,408366.09626191854,554203.236499995,962569.3327619135
2009-12-09,408336.2120818496,554762.0494796336,963098.2615614831
2009-12-10,408137.2556064725,557914.3444828093,966051.6000892818
2009-12-11,407717.0511325002,561179.8754129708,968896.926545471
2009-12-14,406857.9411562085,568474.1557673514,975332.0969235599
2009-12-15,406186.49714666605,567381.3591662943,973567.8563129604
2009-12-16,405463.0754223466,571968.4835554659,977431.5589778125
2009-12-17,404047.59214264154,566917.0246401727,970964.6167828143
2009-12-18,403899.1006875634,569526.4040454328,973425.5047329962
2009-12-21,403574.8058395982,576537.7761381567,980112.5819777548
2009-12-22,403150.44685798883,581300.8346668184,984451.2815248072
2009-12-23,402828.19662982225,583714.658575058,986542.8552048802
2009-12-24,402300.5881897807,587639.9992747903,989940.587464571
2009-12-28,401664.6519679427,587105.7815576494,988770.4335255921
2009-12-29,401230.09986919165,586557.6754543781,987787.7753235698
2009-12-30,401081.6291703582,586805.6150551438,987887.244225502
2009-12-31,400878.462859571,580782.3856095672,981660.8484691381
2010-01-04,400821.21429008245,588389.4049845636,989210.619274646
2010-01-05,400335.6475829482,590383.7243692577,990719.3719522059
2010-01-06,399610.5262507796,591783.5886940658,991394.1149448454
2010-01-07,399144.6637043357,595883.9948309958,995028.6585353315
2010-01-08,398670.56741565466,597331.6939950585,996002.2614107132
2010-01-11,398042.6558174491,598782.30303514,996824.9588525891
2010-01-12,397620.8051056266,593446.0607313812,991066.8658370078
2010-01-13,397335.6091210246,599347.161660254,996682.7707812786
2010-01-14,397099.1572509408,599887.8733347058,996987.0305856466
2010-01-15,396705.72737818956,594180.9217348993,990886.6491130888
2010-01-19,396681.16071254015,602147.5798517466,998828.7405642867
2010-01-20,396195.10924464464,597023.5458198488,993218.6550644934
2010-01-21,395869.26244431734,588170.0459930897,984039.308437407
2010-01-22,395779.22324067354,576835.9998940527,972615.2231347263
2010-01-25,395732.70630437136,578659.4336265326,974392.1399309039
2010-01-26,395720.5563047528,576313.700214088,972034.2565188408
2010-01-27,395599.3509224057,577228.1672362983,972827.518158704
2010-01-28,395333.07263451815,569922.7566158473,965255.8292503655
2010-01-29,395192.0650550723,565161.2533426881,960353.3183977604
2010-02-01,395058.7460886836,573249.9399621785,968308.6860508621
2010-02-02,394775.85326975584,581125.8977173567,975901.7509871125
2010-02-03,394238.67452663183,578084.1029500365,972322.7774766684
2010-02-04,393798.1238114238,561334.4971245229,955132.6209359467
2010-02-05,393594.9816672206,561897.8073898256,955492.7890570462
2010-02-08,393445.8153731227,559205.3708798289,952651.1862529516
2010-02-09,393383.3736502528,566156.5097098947,959539.8833601475
2010-02-10,392994.5934430957,565071.3339468241,958065.9273899198
2010-02-11,392304.04539078474,571629.1283875406,963933.1737783253
2010-02-12,391199.83967906237,573792.6948513985,964992.5345304608
2010-02-16,390292.3531872332,585218.9441084862,975511.2972957194
2010-02-17,387551.9116202891,591259.4106446505,978811.3222649395
2010-02-18,385747.4865683615,597026.2156646252,982773.7022329867
2010-02-19,384621.97177281976,600089.8196406364,984711.7914134562
2010-02-22,383973.9089384377,600492.4404770136,984466.3494154513
2010-02-23,383629.1759581864,593850.2966350317,977479.4725932181
2010-02-24,383613.58985474706,598745.7279887199,982359.317843467
2010-02-25,383382.44399932027,598239.8345701694,981622.2785694897
2010-02-26,383244.00898078084,600120.9545166492,983364.9634974301
2010-03-01,383113.2754392922,608163.0513406992,991276.3267799914
2010-03-02,382746.1707928479,611560.5557109118,994306.7265037596
2010-03-03,382379.5330940187,611806.363605082,994185.8966991007
2010-03-04,382192.4314728677,612999.9620451033,995192.393517971
2010-03-05,382162.0514610708,623488.9656929076,1005651.0171539783
2010-03-08,381865.42089924216,625057.5470445156,1006922.9679437578
2010-03-09,381765.905066818,625342.2440482974,1007108.1491151154
2010-03-10,381676.7154329717,628202.539501071,1009879.2549340427
2010-03-11,381583.22982272506,630048.9446057379,1011632.174428463
2010-03-12,381489.13789996505,629992.2246575654,1011481.3625575304
2010-03-15,381321.31837663054,629110.4072533548,1010431.7256299853
2010-03-16,381221.33354768157,635357.8768413663,1016579.2103890479
2010-03-17,381075.79035291076,640561.5154494345,1021637.3058023453
2010-03-18,380505.45016011596,640907.6412374377,1021413.0913975537
2010-03-19,380172.38631638885,637032.2737922966,1017204.6601086855
2010-03-22,380085.08697614074,642009.9419389069,1022095.0289150476
2010-03-23,379873.9878718555,645971.1637407541,1025845.1516126096
2010-03-24,379412.7211730182,641833.2645801604,1021245.9857531786
2010-03-25,379243.36738178134,640907.6920656562,1020151.0594474375
2010-03-26,378941.2508198917,641174.6451593041,1020115.8959791958
2010-03-29,378712.3306400478,645480.8924464583,1024193.2230865061
2010-03-30,378414.76802131534,646578.2731531262,1024993.0411744416
2010-03-31,377952.61448070407,642830.8520644307,1020783.4665451348
2010-04-01,377809.55353340507,646959.1160413921,1024768.6695747972
2010-04-05,377296.54092916846,654198.6839867532,1031495.2249159217
2010-04-06,375946.66829523444,656347.6410115957,1032294.3093068302
2010-04-07,374931.420227617,653710.3991845548,1028641.8194121718
